Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_02530,hypothetical protein,1.15770180765723,unknown function,['Amino Acid Biosynthesis'],Low,"No functional annotation available; sequence rich in repetitive glycine/proline motifs; no GO, KO, EC, COG, or PFAM domains detected.",BFJEKD_02525,"['membrane transporter', 'heavy metal transport', 'P-type ATPase', 'cation transport']",BFJEKD_02535,"['magnetosome protein', 'biomineralization', 'magnetotaxis']"
BFJEKD_02985,hypothetical protein,-1.87540906550527,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; lacks KO, EC, GO, COG, and PFAM domains; consider for further experimental characterization.",BFJEKD_02980,"['transcription elongation', 'RNA polymerase', 'transcription regulation']",BFJEKD_02990,"['toxin-antitoxin system', 'RNase', 'toxin']"
BFJEKD_04050,Hypothetical protein,1.76235882663814,"hypothetical protein, unknown function",['Carbon Concentrating & Fixation'],Low,No functional annotation or domain detected; cannot assign function or pathway.,BFJEKD_04045,"['lipopolysaccharide biosynthesis', 'membrane protein', 'O-antigen polymerase']",BFJEKD_04055,"['glycosyltransferase', 'carbohydrate metabolism', 'cell wall biosynthesis']"
BFJEKD_04105,VanZ-like family protein,-1.15297217417873,"unknown function, VanZ-like protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domains detected; function remains unknown.,BFJEKD_04100,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']",BFJEKD_04110,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']"
BFJEKD_04310,hypothetical protein,-1.12158156274659,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected.",BFJEKD_04305,"['cell envelope biogenesis', 'periplasmic glucan biosynthesis', 'carbohydrate metabolism']",BFJEKD_04315,"['outer membrane protein', 'membrane protein', 'structural protein']"
BFJEKD_04385,Hypothetical protein,1.24446827507671,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; consider experimental validation or further computational analysis.,BFJEKD_04380,"['membrane transporter', 'EamA family', 'solute transport']",BFJEKD_04390,"['amino acid biosynthesis', 'phenylalanine biosynthesis', 'enzyme', 'hydrolase']"
BFJEKD_04485,hypothetical protein,-1.29278747643397,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation available; exclude or treat cautiously in downstream analyses.,BFJEKD_04480,"['signal transduction', 'c-di-GMP metabolism', 'response regulator', 'phosphodiesterase']",BFJEKD_04490,"['membrane transporter', 'AEC family', 'malonate transport']"
BFJEKD_04870,DUF218 domain-containing protein,1.37383389801093,"unknown function, DUF218, membrane protein, proteolysis",['Unknown & Hypothetical Proteins'],Medium,DUF218 domain protein linked to cell envelope biogenesis; GO terms suggest proteolytic activity but function not fully characterized.,BFJEKD_04865,"['cell division', 'ABC transporter permease', 'membrane protein']",BFJEKD_04875,"['lipid metabolism', 'glycerophospholipid biosynthesis', 'membrane-associated enzyme', 'acyltransferase']"
BFJEKD_05600,hypothetical protein,2.0854480616029,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown in downstream analyses.",BFJEKD_05595,"['cell wall biosynthesis', 'penicillin-binding protein', 'membrane enzyme', 'peptidoglycan synthesis']",BFJEKD_05605,"['two-component system', 'response regulator', 'transcription regulation', 'signal transduction']"
BFJEKD_05615,hypothetical protein,4.61956549569491,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_05610,"['quorum sensing', 'autoinducer synthase', 'signal transduction', 'cell-cell communication']",BFJEKD_05620,"['transcriptional regulator', 'XRE family', 'DNA binding', 'regulation of gene expression']"
BFJEKD_05990,Hypothetical protein,-4.13949445320441,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; may require experimental characterization or further computational analysis.",BFJEKD_05985,"['transcriptional regulator', 'AsnC family', 'DNA binding']",BFJEKD_05995,"['hypothetical protein', 'unknown function']"
BFJEKD_06440,DUF1178 domain-containing protein,-1.68983515086324,"unknown function, DUF protein",['Toxin-Antitoxin & Phage Defense'],Low,Protein of unknown function; no KO or GO annotations; may require experimental validation or further bioinformatic analysis.,BFJEKD_06435,"['molecular chaperone', 'protein folding', 'heat shock response']",BFJEKD_06445,"['DNA repair', 'photolyase', 'DNA damage response']"
BFJEKD_06600,hypothetical protein,1.74586340485729,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence suggests possible membrane localization but function unknown; treat as unknown in downstream analyses.,BFJEKD_06595,"['cell wall biogenesis', 'ion binding', 'LysM domain protein']",BFJEKD_06605,"['hydrogenase', 'electron transport', 'energy metabolism', 'membrane protein']"
BFJEKD_06740,hypothetical protein,1.33230687346677,"hypothetical, uncharacterized",['Secretion & Transport Systems'],Low,No functional annotation available; further analysis needed.,BFJEKD_06735,"['nucleotide metabolism', 'hydrolase', 'signal transduction', 'regulation']",BFJEKD_06745,"['heme biosynthesis', 'porphyrin metabolism', 'enzyme']"
BFJEKD_06975,Hypothetical protein,-1.55996536226176,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_06970,"['membrane transporter', 'MFS transporter', 'efflux pump']",BFJEKD_06980,"['amino acid metabolism', 'glutamate dehydrogenase', 'oxidoreductase']"
BFJEKD_07240,Hypothetical protein,1.07301639180751,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,"No functional annotation available; no KO, GO, COG, or PFAM domains detected; exclude or treat separately in downstream analyses.",BFJEKD_07235,"['DNA repair', 'SOS response', 'stress response', 'peptidase']",BFJEKD_07245,"['exopolysaccharide export', 'polysaccharide biosynthesis', 'membrane protein', 'protein kinase']"
BFJEKD_07345,DUF2384 domain-containing protein,-2.99424971512762,"unknown function, DUF2384",['Cell Wall & Envelope Biogenesis'],Low,Limited functional information; DNA binding GO term suggests possible nucleic acid interaction.,BFJEKD_07340,"['aminoacyl-tRNA synthetase', 'translation', 'tRNA modification']",BFJEKD_07350,"['RNA metabolism', 'RNA binding']"
BFJEKD_07395,DUF2889 domain-containing protein,-1.33908302700718,"hypothetical protein, DUF2889",['Amino Acid Biosynthesis'],Low,"Function unknown; domain of unknown function, no clear pathway or activity assigned.",BFJEKD_07390,"['regulatory protein', 'CBS domain', 'signal transduction']",BFJEKD_07400,"['ribosomal protein', 'translation', 'protein biosynthesis']"
BFJEKD_07665,nan,1.71754033030744,hypothetical protein,['Amino Acid Biosynthesis'],Low,No functional annotation available.,BFJEKD_07660,"['fatty acid degradation', 'beta-oxidation', 'lipid metabolism']",BFJEKD_07670,"['ribosome', 'translation', 'protein synthesis']"
BFJEKD_07705,hypothetical protein,-1.06321558814045,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence contains many histidine repeats which may indicate metal binding or unknown function; low confidence.,BFJEKD_07700,"['plasmid maintenance', 'toxin-antitoxin system', 'DNA binding', 'transcriptional regulator']",BFJEKD_07710,"['hypothetical protein', 'unknown function']"
BFJEKD_08035,hypothetical protein,-3.42460352967295,"hypothetical protein, unknown function",['Protein Processing & Degradation'],Low,No functional annotation available; treat as unknown in downstream analyses.,BFJEKD_08030,"['membrane transporter', 'drug/metabolite transporter', 'DMT superfamily']",BFJEKD_08040,"['molecular chaperone', 'protein folding', 'stress response', 'ATPase']"
BFJEKD_08685,Hypothetical protein,4.21816271693493,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation available. Sequence and domain searches did not yield informative hits. Consider experimental validation or further computational analysis.,BFJEKD_08680,"['fatty acid biosynthesis', 'lipid metabolism', 'acyl carrier protein']",BFJEKD_08690,"['hypothetical protein', 'unknown function']"
BFJEKD_08690,Hypothetical protein,2.25020320945339,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation available. No KO, COG, GO or PFAM domains detected.",BFJEKD_08685,"['hypothetical protein', 'unknown function']",BFJEKD_08695,"['hypothetical protein', 'unknown function']"
BFJEKD_08695,Hypothetical protein,1.51976355898902,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"No functional annotation available. No KO, COG, GO or PFAM domains detected.",BFJEKD_08690,"['hypothetical protein', 'unknown function']",BFJEKD_08700,"['hypothetical protein', 'unknown function']"
BFJEKD_08845,DUF1491 domain-containing protein,2.4085611099888,"unknown function, DUF domain",['Protein Processing & Degradation'],Low,"Protein contains DUF1491 domain with no known function; no KO, EC, or GO annotations available; likely uncharacterized, should be treated as unknown in grouping and DE analysis.",BFJEKD_08840,"['membrane transporter', 'MFS transporter', 'sugar transport', 'solute transport']",BFJEKD_08850,"['beta-lactamase', 'antibiotic resistance', 'hydrolase', 'membrane-associated enzyme']"
BFJEKD_08870,DUF4175 domain-containing protein,-1.3910308569836,"unknown function, DUF domain",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation available; domain of unknown function. Treat as uncharacterized in grouping and DE analysis.,BFJEKD_08865,"['hypothetical protein', 'unknown function']",BFJEKD_08875,['unknown function']
BFJEKD_08900,Hypothetical protein,-1.02521205937564,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; cannot assign function or group.,BFJEKD_08895,"['uncharacterized', 'DUF190', 'unknown function']",BFJEKD_08905,"['hypothetical protein', 'unknown function']"
BFJEKD_09020,DUF2971 domain-containing protein,2.51317514437873,"unknown function, DUF2971",['Amino Acid Biosynthesis'],Low,No functional annotation available beyond DUF2971 domain; treat as uncharacterized protein in grouping and DE analysis.,BFJEKD_09015,"['selenoprotein', 'unknown function']",BFJEKD_09025,"['tRNA', 'translation']"
BFJEKD_09375,hypothetical protein,-3.11702581289206,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; exclude or treat cautiously in downstream analyses.,BFJEKD_09370,"['membrane transporter', 'amino acid efflux', 'LysE family']",BFJEKD_09380,"['transcriptional regulator', 'LysR family', 'nitrogen metabolism']"
BFJEKD_09400,hypothetical protein,2.11409772698672,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown for downstream analysis.",BFJEKD_09395,"['DNA protection', 'stress response', 'iron storage']",BFJEKD_09405,"['transcriptional regulator', 'LysR family', 'DNA binding', 'regulation']"
BFJEKD_09825,Hypothetical membrane protein DUF2232,1.76942300735071,"membrane protein, unknown function",['Amino Acid Biosynthesis'],Low,"No functional annotation beyond membrane localization; DUF2232 is a domain of unknown function, limiting confident grouping or DE interpretation.",BFJEKD_09820,"['ribosome', 'translation', 'structural protein']",BFJEKD_09830,"['ribosomal protein', 'translation', 'small subunit']"
BFJEKD_09870,hypothetical protein,-4.62710164259456,"unknown function, hypothetical protein",['Polyhydroxyalkanoates & Storage Lipids'],Low,No annotation or domain information available; function unknown.,BFJEKD_09865,"['unknown function', 'PRC domain']",BFJEKD_09875,['unknown function']
BFJEKD_09875,Uncharacterized protein,-4.59844626233982,unknown function,['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; sequence too short for confident prediction.,BFJEKD_09870,"['unknown function', 'hypothetical protein']",BFJEKD_09880,"['membrane protein', 'unknown function']"
BFJEKD_09885,DUF3096 domain-containing protein,-3.1173149044885,"DUF3096, unknown function",['Secretion & Transport Systems'],Medium,"Contains DUF3096 domain (PF11310), a domain of unknown function; no further functional clues available.",BFJEKD_09880,"['membrane protein', 'unknown function']",BFJEKD_09890,['unknown function']
BFJEKD_09890,Uncharacterized protein,-3.76207407076236,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09885,"['DUF3096', 'unknown function']",BFJEKD_09895,['unknown function']
BFJEKD_09895,Uncharacterized protein,-3.4690414937199,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09890,['unknown function'],BFJEKD_09900,"['oxidoreductase', 'short-chain dehydrogenase', 'membrane-associated']"
BFJEKD_10930,hypothetical protein,-1.45319904639711,unknown function,"['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; sequence may require further experimental or computational characterization.,BFJEKD_10925,"['photosynthesis', 'pigment biosynthesis', 'oxidoreductase', 'membrane protein']",BFJEKD_10935,"['signal transduction', 'diguanylate cyclase', 'PAS domain']"
BFJEKD_10960,DUF485 domain-containing protein (putative membrane protein),-3.52479635056189,"membrane protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No KO or EC; only membrane localization known; function unknown.,BFJEKD_10955,"['membrane transporter', 'symporter', 'cation transport', 'acetate transport']",BFJEKD_10965,"['hypothetical protein', 'uncharacterized']"
BFJEKD_11190,Hydrolase (putative),-1.76888532027941,"hydrolase, enzyme, unknown specificity",['Cell Wall & Envelope Biogenesis'],Medium,"Only general hydrolase GO term available; no KO, EC, or PFAM domains; treat as putative hydrolase for grouping.",BFJEKD_11185,"['transcriptional regulator', 'TetR family', 'DNA binding']",BFJEKD_11195,"['hypothetical protein', 'unknown function']"
BFJEKD_11500,DUF1178 domain-containing protein,-1.43808019178518,"unknown function, DUF domain",['Unknown & Hypothetical Proteins'],Low,Function not characterized; potential for novel activity.,BFJEKD_11495,"['hydrolase', 'glutathione metabolism', 'amidohydrolase']",BFJEKD_11505,"['two-component system', 'histidine kinase', 'signal transduction']"
BFJEKD_11560,DUF4167 domain-containing protein,2.62438667139271,"unknown function, DUF4167","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; domain of unknown function. Consider as uncharacterized in downstream analyses.,BFJEKD_11555,"['translation release factor modification', 'methyltransferase', 'posttranslational modification']",BFJEKD_11565,"['chaperone', 'stress response', 'protein folding', 'ATPase']"
BFJEKD_11570,DUF6635 domain-containing protein,-2.3307486862334,"unknown function, DUF6635",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain information available; treat as uncharacterized.,BFJEKD_11565,"['chaperone', 'stress response', 'protein folding', 'ATPase']",BFJEKD_11575,"['chemotaxis', 'signal transduction', 'membrane protein', 'sensory receptor']"
BFJEKD_11795,hypothetical protein,-3.77895071522638,"hypothetical, unknown function",['Amino Acid Biosynthesis'],Low,Lacks functional annotation; may be a non-characterized or novel protein.,BFJEKD_11790,"['substrate-binding', 'methionine transport', 'lipoprotein', 'ABC transporter']",BFJEKD_11800,"['amino acid biosynthesis', 'cysteine metabolism', 'transferase']"
BFJEKD_12100,Hypothetical protein,1.32420335136442,"unknown function, hypothetical protein","['Protein Folding, Quality Control & Stress Response']",Low,"No functional annotation or domain detected. No GO, KO, or COG terms available.",BFJEKD_12095,"['unknown function', 'hypothetical protein']",BFJEKD_12105,"['unknown function', 'hypothetical protein']"
BFJEKD_12105,Hypothetical protein,1.18222751581956,"unknown function, hypothetical protein",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation or domain detected. No GO, KO, or COG terms available.",BFJEKD_12100,"['unknown function', 'hypothetical protein']",BFJEKD_12110,"['two-component system', 'PTS regulation', 'carbon metabolism regulation', 'kinase/phosphatase']"
BFJEKD_12150,Hypothetical protein,-1.72938309848705,"hypothetical protein, unknown function",['Carbon Concentrating & Fixation'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_12145,"['sulfotransferase', 'post-translational modification', 'sulfur metabolism']",BFJEKD_12155,"['membrane transporter', 'MFS transporter', 'multidrug resistance', 'efflux pump']"
BFJEKD_12210,Uncharacterized membrane protein,2.20580085504179,"hypothetical protein, membrane-associated",['Polyhydroxyalkanoates & Storage Lipids'],Low,No functional annotation available; sequence suggests possible membrane association but no domain or ontology evidence.,BFJEKD_12205,"['protease', 'WD40 repeat', 'protein binding']",BFJEKD_12215,"['outer membrane protein', 'membrane structural protein', 'cell envelope']"
BFJEKD_12350,DUF3018 domain-containing protein,-2.53030976106571,"unknown function, DUF3018",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping or DE analysis.,BFJEKD_12345,"['biosynthesis', 'ATP-grasp enzyme', 'Ter operon associated']",BFJEKD_12355,"['carbon-carbon lyase', 'metabolism', 'ATP-binding']"
BFJEKD_12510,DUF6481 domain-containing protein,1.44613423463366,"unknown function, DUF-containing protein",['Carbon Concentrating & Fixation'],Low,"No KO, EC, GO, COG or PFAM domains identified; function unknown.",BFJEKD_12505,"['hydrogenase maturation', 'nickel metallochaperone', 'metal ion transport']",BFJEKD_12515,"['amino acid metabolism', 'threonine degradation', 'alcohol dehydrogenase']"
BFJEKD_12775,Hypothetical protein,-4.6439867604636,"hypothetical protein, transcription",['Secretion & Transport Systems'],Low,"Only a single general GO term related to transcription is available. No KO, EC, COG, or PFAM domains detected. Annotation is minimal and uncertain.",BFJEKD_12770,"['toxin-antitoxin system', 'mRNA interferase', 'endonuclease', 'stress response', 'post-transcriptional regulation']",BFJEKD_12780,"['transcriptional regulator', 'MarR family', 'stress response', 'DNA-binding protein']"
BFJEKD_13055,DUF892 domain-containing protein,-3.2259801636392,"unknown function, DUF892",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping.,BFJEKD_13050,"['ethanolamine metabolism', 'ammonia-lyase', 'B12-dependent enzyme']",BFJEKD_13060,"['two-component system', 'histidine kinase', 'signal transduction', 'quorum sensing']"
BFJEKD_13405,DUF4139 domain-containing protein,-1.50945759008686,"unknown function, DUF4139",['Secretion & Transport Systems'],Low,No functional annotation beyond domain of unknown function; limited utility for functional grouping or DE analysis.,BFJEKD_13400,"['amino sugar metabolism', 'peptidoglycan biosynthesis', 'phosphomutase']",BFJEKD_13410,"['thiamine metabolism', 'vitamin biosynthesis', 'kinase']"
BFJEKD_13800,CsbD family protein,-4.408748464764,"stress response, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"Protein belongs to CsbD family, implicated in stress response but function not well characterized; no KO, EC, or GO annotations.",BFJEKD_13795,"['amino acid metabolism', 'stress response', 'endoribonuclease']",BFJEKD_13805,"['post-translational modification', 'deacetylase', 'protein turnover']"
BFJEKD_14210,Hypothetical protein,1.78950149488991,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM data.",BFJEKD_14205,"['transcriptional regulator', 'DNA binding', 'GntR family']",BFJEKD_14215,"['hypothetical protein', 'unknown function']"
BFJEKD_14225,DUF3572 domain-containing protein,1.95085075870997,"unknown function, DUF3572",['Amino Acid Biosynthesis'],Low,No functional annotation beyond DUF3572 domain; treat as uncharacterized for grouping and DE analysis.,BFJEKD_14220,"['unknown function', 'DUF2786']",BFJEKD_14230,"['ABC transporter', 'glycerol-3-phosphate transport', 'membrane transporter', 'ATP-binding protein']"
BFJEKD_14695,DUF3008 domain-containing protein,-3.5425947015633,"unknown function, DUF3008",['Protein Processing & Degradation'],Low,No functional annotation or known homologs; domain of unknown function only; exclude from functional grouping or treat as unknown.,BFJEKD_14690,"['membrane protein', 'unknown function', 'DUF3100']",BFJEKD_14700,"['membrane protein', 'unknown function']"
BFJEKD_14700,DUF4142 domain-containing protein,-6.30873971463452,"membrane protein, unknown function",['Cell Wall & Envelope Biogenesis'],Medium,KO K08995 indicates a membrane protein with unknown function; no EC or GO terms available; COG category confirms unknown function.,BFJEKD_14695,"['unknown function', 'DUF3008']",BFJEKD_14705,['unknown function']
BFJEKD_14705,DUF2934 domain-containing protein,-6.58395807437883,unknown function,['Cell Wall & Envelope Biogenesis'],Low,"No KO, EC, GO, or COG annotations; only PFAM DUF2934 domain present; function unknown.",BFJEKD_14700,"['membrane protein', 'unknown function']",BFJEKD_14710,"['iron storage', 'ferritin-like protein']"
BFJEKD_15420,hypothetical protein,1.2569011058412,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; likely uncharacterized protein.,BFJEKD_15415,"['amino sugar metabolism', 'epimerase', 'cell wall biosynthesis']",BFJEKD_15425,"['membrane protein', 'O-antigen ligase-like', 'cell envelope biosynthesis']"
BFJEKD_15495,hypothetical protein,-3.0292073197706,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotations or domains detected; cannot assign function.,BFJEKD_15490,"['energy metabolism', 'glycerolipid metabolism', 'oxidoreductase']",BFJEKD_15500,"['photosynthesis', 'photosystem', 'membrane protein']"
BFJEKD_16325,hypothetical protein,-2.75307101791333,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence available but no known homologs or domains.,BFJEKD_16320,"['toxin-antitoxin system', 'endoribonuclease', 'mRNA interferase', 'stress response']",BFJEKD_16330,"['LPS biosynthesis', 'glycosyltransferase', 'cell wall biosynthesis']"
BFJEKD_17030,Hypothetical protein,1.24244087278003,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; sequence is hydrophobic and likely membrane-associated but function unknown.,BFJEKD_17025,"['flagellar motor', 'chemotaxis', 'membrane protein', 'motility']",BFJEKD_17035,"['transcription regulation', 'sigma factor', 'RNA polymerase']"
BFJEKD_17040,Hypothetical protein,1.8280547729946801,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence suggests membrane localization but function unknown.,BFJEKD_17035,"['transcription regulation', 'sigma factor', 'RNA polymerase']",BFJEKD_17045,"['metallo-hydrolase', 'beta-lactamase superfamily', 'metal-dependent hydrolase']"
BFJEKD_18360,EipB-like protein,-2.5715715643176,"unknown function, DUF1849",['Carbon Concentrating & Fixation'],Low,No functional annotation available beyond DUF1849 domain; consider experimental validation or comparative genomics for functional inference.,BFJEKD_18355,"['methylglyoxal pathway', 'glycolysis', 'metabolic enzyme']",BFJEKD_18365,"['oxidoreductase', 'FAD-dependent enzyme', 'redox metabolism']"
BFJEKD_18415,Hypothetical protein,1.883260566906,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_18410,"['hypothetical protein', 'unknown function']",BFJEKD_18420,"['oxygen binding', 'metal ion binding', 'iron transport', 'stress response']"
BFJEKD_18700,Hypothetical Protein,-1.41628166600919,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; no KO, COG, GO, or PFAM domains detected. Consider experimental validation or further computational analysis.",BFJEKD_18695,"['polysaccharide biosynthesis', 'glucosyltransferase', 'osmoregulated periplasmic glucans']",BFJEKD_18705,"['polysaccharide biosynthesis', 'periplasmic glucan biosynthesis', 'osmoregulated periplasmic glucans']"
BFJEKD_18870,DUF2066 domain-containing protein,-1.47896681636454,"uncharacterized, conserved hypothetical, DUF domain",['Polyhydroxyalkanoates & Storage Lipids'],Low,"No functional annotation available beyond DUF2066 domain. No KO, EC, GO, or COG terms assigned. Protein likely conserved but function unknown. Should be treated as uncharacterized in downstream analyses.",BFJEKD_18865,"['lipid metabolism', 'phospholipid biosynthesis', 'membrane enzyme']",BFJEKD_18875,"['purine biosynthesis', 'nucleotide metabolism', 'ligase enzyme']"
BFJEKD_19240,DUF3253 domain-containing protein,-1.46504526737667,"unknown function, DUF3253",['Unknown & Hypothetical Proteins'],Low,No functional annotation available; domain of unknown function only. Not suitable for confident grouping or DE analysis.,BFJEKD_19235,"['lipid metabolism', 'fatty acid degradation', 'enoyl-CoA hydratase']",BFJEKD_19245,"['formaldehyde detoxification', 'glutathione-dependent enzyme']"
BFJEKD_19250,Hypothetical protein,1.41439797658785,"unknown function, hypothetical protein",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence likely membrane-associated but no confident function assigned.,BFJEKD_19245,"['formaldehyde detoxification', 'glutathione-dependent enzyme']",BFJEKD_19255,"['glycogen metabolism', 'carbohydrate metabolism', 'phosphorylase']"
