Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_02530,hypothetical protein,1.10946333311963,unknown function,['Amino Acid Biosynthesis'],Low,"No functional annotation available; sequence rich in repetitive glycine/proline motifs; no GO, KO, EC, COG, or PFAM domains detected.",BFJEKD_02525,"['membrane transporter', 'heavy metal transport', 'P-type ATPase', 'cation transport']",BFJEKD_02535,"['magnetosome protein', 'biomineralization', 'magnetotaxis']"
BFJEKD_03395,DUF3035 domain-containing protein,1.24960895919857,"unknown function, DUF3035, hypothetical protein",['Unknown & Hypothetical Proteins'],Low,No functional annotation available; consider as unknown for grouping and DE analysis.,BFJEKD_03390,"['signal peptidase', 'protein processing', 'lipoprotein maturation', 'membrane protein', 'posttranslational modification']",BFJEKD_03400,"['tRNA editing', 'aminoacyl-tRNA synthetase', 'translation quality control', 'protein synthesis']"
BFJEKD_04105,VanZ-like family protein,-1.754900392521,"unknown function, VanZ-like protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domains detected; function remains unknown.,BFJEKD_04100,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']",BFJEKD_04110,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']"
BFJEKD_04505,Hypothetical protein,-4.69989917875826,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich repeats suggesting possible metal binding but no confident assignment.,BFJEKD_04500,"['electron transport', 'membrane protein', 'heme binding']",BFJEKD_04510,"['peptidase regulation', 'metallopeptidase inhibitor', 'protein domain']"
BFJEKD_04855,Protein of unknown function DUF3426,1.63943904234195,"unknown function, DUF3426, zinc ribbon domain",['Secretion & Transport Systems'],Low,"No KO, EC, GO or COG annotations; only domain-based inference; function unknown, likely metal-binding or regulatory.",BFJEKD_04850,"['nucleotide sugar metabolism', 'carbohydrate metabolism', 'oxidoreductase', 'cytoplasmic enzyme']",BFJEKD_04860,"['cell division', 'ABC transporter', 'ATPase', 'membrane protein']"
BFJEKD_04890,DUF2125 domain-containing protein,1.0994257596346,"uncharacterized protein, conserved hypothetical, DUF2125",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available beyond conserved domain and COG; treat as hypothetical protein in analyses.,BFJEKD_04885,"['amino acid metabolism', 'glutathione degradation', 'gamma-glutamylcyclotransferase', 'redox metabolism']",BFJEKD_04895,"['hypothetical protein', 'uncharacterized']"
BFJEKD_04895,hypothetical protein,2.34276974062431,"hypothetical protein, uncharacterized",['Cell Wall & Envelope Biogenesis'],Low,No annotation available; consider as unknown function in downstream analyses.,BFJEKD_04890,"['uncharacterized protein', 'conserved hypothetical', 'DUF2125']",BFJEKD_04900,"['hypothetical protein', 'unknown function']"
BFJEKD_05600,hypothetical protein,1.61228575948974,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown in downstream analyses.",BFJEKD_05595,"['cell wall biosynthesis', 'penicillin-binding protein', 'membrane enzyme', 'peptidoglycan synthesis']",BFJEKD_05605,"['two-component system', 'response regulator', 'transcription regulation', 'signal transduction']"
BFJEKD_05615,hypothetical protein,1.88035794936261,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_05610,"['quorum sensing', 'autoinducer synthase', 'signal transduction', 'cell-cell communication']",BFJEKD_05620,"['transcriptional regulator', 'XRE family', 'DNA binding', 'regulation of gene expression']"
BFJEKD_05990,Hypothetical protein,-3.18536201794773,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; may require experimental characterization or further computational analysis.",BFJEKD_05985,"['transcriptional regulator', 'AsnC family', 'DNA binding']",BFJEKD_05995,"['hypothetical protein', 'unknown function']"
BFJEKD_06105,Hypothetical protein,1.67084879243517,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; remains hypothetical.,BFJEKD_06100,"['signal transduction', 'cAMP metabolism', 'phosphodiesterase']",BFJEKD_06110,"['two-component system', 'chemotaxis', 'signal transduction']"
BFJEKD_06515,DUF29 domain-containing protein,-1.17716411610191,"uncharacterized, DUF29",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available beyond DUF29 domain; likely uncharacterized protein. Exclude from pathway-based grouping; consider as unknown function in differential expression.,BFJEKD_06510,"['tRNA modification', 'translation', 'aminoacyl-tRNA biosynthesis', 'transferase']",BFJEKD_06520,"['glycerolipid metabolism', 'oxidoreductase', 'membrane-associated enzyme', 'energy metabolism']"
BFJEKD_06740,hypothetical protein,1.03828371724724,"hypothetical, uncharacterized",['Secretion & Transport Systems'],Low,No functional annotation available; further analysis needed.,BFJEKD_06735,"['nucleotide metabolism', 'hydrolase', 'signal transduction', 'regulation']",BFJEKD_06745,"['heme biosynthesis', 'porphyrin metabolism', 'enzyme']"
BFJEKD_07330,Hypothetical protein,1.45871811846505,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; exclude or treat cautiously in downstream analyses.,BFJEKD_07325,"['transcription regulation', 'DNA-binding', 'GntR family']",BFJEKD_07335,"['endonuclease', 'DNA cleavage', 'HNH nuclease']"
BFJEKD_07395,DUF2889 domain-containing protein,-1.35735072839966,"hypothetical protein, DUF2889",['Amino Acid Biosynthesis'],Low,"Function unknown; domain of unknown function, no clear pathway or activity assigned.",BFJEKD_07390,"['regulatory protein', 'CBS domain', 'signal transduction']",BFJEKD_07400,"['ribosomal protein', 'translation', 'protein biosynthesis']"
BFJEKD_07420,DUF4276 domain-containing protein,-2.4700318734223,"unknown function, DUF","['Protein Folding, Quality Control & Stress Response']",Low,Function not characterized; domain of unknown function.,BFJEKD_07415,"['chromosome segregation', 'ATPase', 'cell division']",BFJEKD_07425,"['amino acid biosynthesis', 'arginine metabolism', 'ligase enzyme']"
BFJEKD_07705,hypothetical protein,1.05872234814682,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence contains many histidine repeats which may indicate metal binding or unknown function; low confidence.,BFJEKD_07700,"['plasmid maintenance', 'toxin-antitoxin system', 'DNA binding', 'transcriptional regulator']",BFJEKD_07710,"['hypothetical protein', 'unknown function']"
BFJEKD_07710,hypothetical protein,1.30369909869223,"hypothetical protein, unknown function",['Polyhydroxyalkanoates & Storage Lipids'],Low,No annotation or domain detected; short sequence with no known features; low confidence.,BFJEKD_07705,"['hypothetical protein', 'unknown function']",BFJEKD_07715,"['phosphotransferase system', 'nitrogen regulation', 'signal transduction', 'membrane-associated']"
BFJEKD_08035,hypothetical protein,-2.53805171536581,"hypothetical protein, unknown function",['Protein Processing & Degradation'],Low,No functional annotation available; treat as unknown in downstream analyses.,BFJEKD_08030,"['membrane transporter', 'drug/metabolite transporter', 'DMT superfamily']",BFJEKD_08040,"['molecular chaperone', 'protein folding', 'stress response', 'ATPase']"
BFJEKD_08685,Hypothetical protein,3.56343532397736,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation available. Sequence and domain searches did not yield informative hits. Consider experimental validation or further computational analysis.,BFJEKD_08680,"['fatty acid biosynthesis', 'lipid metabolism', 'acyl carrier protein']",BFJEKD_08690,"['hypothetical protein', 'unknown function']"
BFJEKD_08695,Hypothetical protein,-1.04209592472212,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"No functional annotation available. No KO, COG, GO or PFAM domains detected.",BFJEKD_08690,"['hypothetical protein', 'unknown function']",BFJEKD_08700,"['hypothetical protein', 'unknown function']"
BFJEKD_09375,hypothetical protein,-4.92501708885689,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; exclude or treat cautiously in downstream analyses.,BFJEKD_09370,"['membrane transporter', 'amino acid efflux', 'LysE family']",BFJEKD_09380,"['transcriptional regulator', 'LysR family', 'nitrogen metabolism']"
BFJEKD_09400,hypothetical protein,4.28585353659014,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown for downstream analysis.",BFJEKD_09395,"['DNA protection', 'stress response', 'iron storage']",BFJEKD_09405,"['transcriptional regulator', 'LysR family', 'DNA binding', 'regulation']"
BFJEKD_09865,PRC domain-containing protein,-2.25318724865563,"unknown function, PRC domain",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available; PRC domain presence suggests possible involvement in electron transport or redox processes but unconfirmed.,BFJEKD_09860,"['cell wall biogenesis', 'peptidoglycan metabolism', 'lytic transglycosylase']",BFJEKD_09870,"['unknown function', 'hypothetical protein']"
BFJEKD_09870,hypothetical protein,-4.72023513934129,"unknown function, hypothetical protein",['Polyhydroxyalkanoates & Storage Lipids'],Low,No annotation or domain information available; function unknown.,BFJEKD_09865,"['unknown function', 'PRC domain']",BFJEKD_09875,['unknown function']
BFJEKD_09875,Uncharacterized protein,-4.92679945943838,unknown function,['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; sequence too short for confident prediction.,BFJEKD_09870,"['unknown function', 'hypothetical protein']",BFJEKD_09880,"['membrane protein', 'unknown function']"
BFJEKD_09885,DUF3096 domain-containing protein,-4.1564574023023,"DUF3096, unknown function",['Secretion & Transport Systems'],Medium,"Contains DUF3096 domain (PF11310), a domain of unknown function; no further functional clues available.",BFJEKD_09880,"['membrane protein', 'unknown function']",BFJEKD_09890,['unknown function']
BFJEKD_09890,Uncharacterized protein,-5.57026250370685,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09885,"['DUF3096', 'unknown function']",BFJEKD_09895,['unknown function']
BFJEKD_09895,Uncharacterized protein,-5.0849524713057,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09890,['unknown function'],BFJEKD_09900,"['oxidoreductase', 'short-chain dehydrogenase', 'membrane-associated']"
BFJEKD_10330,DUF1837 domain-containing protein,1.25885924487563,"unknown function, DUF domain",['Unknown & Hypothetical Proteins'],Low,"No functional annotation beyond DUF domain. No KO, EC, GO, or COG data. Should be treated as unknown in downstream analyses.",BFJEKD_10325,"['RNA helicase', 'ATP-dependent helicase', 'RNA metabolism']",BFJEKD_10335,"['unknown function', 'DUF952']"
BFJEKD_10930,hypothetical protein,-2.06281006590625,unknown function,"['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; sequence may require further experimental or computational characterization.,BFJEKD_10925,"['photosynthesis', 'pigment biosynthesis', 'oxidoreductase', 'membrane protein']",BFJEKD_10935,"['signal transduction', 'diguanylate cyclase', 'PAS domain']"
BFJEKD_10960,DUF485 domain-containing protein (putative membrane protein),-3.24348057600374,"membrane protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No KO or EC; only membrane localization known; function unknown.,BFJEKD_10955,"['membrane transporter', 'symporter', 'cation transport', 'acetate transport']",BFJEKD_10965,"['hypothetical protein', 'uncharacterized']"
BFJEKD_11025,Hypothetical protein,1.28507663189358,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; cannot assign function or pathway.,BFJEKD_11020,"['lipid metabolism', 'fatty acid modification', 'methyltransferase']",BFJEKD_11030,"['RNA modification', 'tRNA editing', 'adenosine deaminase']"
BFJEKD_11140,hypothetical protein,1.99779552670113,hypothetical protein,['Unknown & Hypothetical Proteins'],Low,Lacks functional annotations; may be uncharacterized or novel. Further analysis needed for grouping or DE.,BFJEKD_11135,"['cobalamin biosynthesis', 'accessory protein', 'metabolic process']",BFJEKD_11145,"['tRNA', 'translation']"
BFJEKD_11365,DUF1476 domain-containing protein,1.56563732526386,"unknown function, DUF1476, hypothetical protein",['Protein Processing & Degradation'],Low,Limited information; classified as DUF1476 domain-containing protein with no assigned KO or GO annotations.,BFJEKD_11360,"['membrane transporter', 'Golgi organization', 'transport protein']",BFJEKD_11370,"['magnesium transporter', 'membrane transporter', 'ion transport', 'metal homeostasis']"
BFJEKD_11500,DUF1178 domain-containing protein,-1.48405655434337,"unknown function, DUF domain",['Unknown & Hypothetical Proteins'],Low,Function not characterized; potential for novel activity.,BFJEKD_11495,"['hydrolase', 'glutathione metabolism', 'amidohydrolase']",BFJEKD_11505,"['two-component system', 'histidine kinase', 'signal transduction']"
BFJEKD_12105,Hypothetical protein,-1.44143566607704,"unknown function, hypothetical protein",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation or domain detected. No GO, KO, or COG terms available.",BFJEKD_12100,"['unknown function', 'hypothetical protein']",BFJEKD_12110,"['two-component system', 'PTS regulation', 'carbon metabolism regulation', 'kinase/phosphatase']"
BFJEKD_12210,Uncharacterized membrane protein,1.77035651849032,"hypothetical protein, membrane-associated",['Polyhydroxyalkanoates & Storage Lipids'],Low,No functional annotation available; sequence suggests possible membrane association but no domain or ontology evidence.,BFJEKD_12205,"['protease', 'WD40 repeat', 'protein binding']",BFJEKD_12215,"['outer membrane protein', 'membrane structural protein', 'cell envelope']"
BFJEKD_12350,DUF3018 domain-containing protein,-1.68678934430304,"unknown function, DUF3018",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping or DE analysis.,BFJEKD_12345,"['biosynthesis', 'ATP-grasp enzyme', 'Ter operon associated']",BFJEKD_12355,"['carbon-carbon lyase', 'metabolism', 'ATP-binding']"
BFJEKD_12775,Hypothetical protein,-3.16160780028602,"hypothetical protein, transcription",['Secretion & Transport Systems'],Low,"Only a single general GO term related to transcription is available. No KO, EC, COG, or PFAM domains detected. Annotation is minimal and uncertain.",BFJEKD_12770,"['toxin-antitoxin system', 'mRNA interferase', 'endonuclease', 'stress response', 'post-transcriptional regulation']",BFJEKD_12780,"['transcriptional regulator', 'MarR family', 'stress response', 'DNA-binding protein']"
BFJEKD_12890,Hypothetical protein (DUF2442),1.34466012430002,"unknown function, DUF protein",['Amino Acid Biosynthesis'],Low,No functional annotation available beyond DUF2442 domain; function remains unknown.,BFJEKD_12885,"['protein deacetylase', 'posttranslational modification', 'NAD-dependent enzyme']",BFJEKD_12895,"['amino acid transport', 'ABC transporter', 'ATPase', 'membrane transporter']"
BFJEKD_13405,DUF4139 domain-containing protein,-3.04343045735555,"unknown function, DUF4139",['Secretion & Transport Systems'],Low,No functional annotation beyond domain of unknown function; limited utility for functional grouping or DE analysis.,BFJEKD_13400,"['amino sugar metabolism', 'peptidoglycan biosynthesis', 'phosphomutase']",BFJEKD_13410,"['thiamine metabolism', 'vitamin biosynthesis', 'kinase']"
BFJEKD_13800,CsbD family protein,-3.70893693284431,"stress response, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"Protein belongs to CsbD family, implicated in stress response but function not well characterized; no KO, EC, or GO annotations.",BFJEKD_13795,"['amino acid metabolism', 'stress response', 'endoribonuclease']",BFJEKD_13805,"['post-translational modification', 'deacetylase', 'protein turnover']"
BFJEKD_14225,DUF3572 domain-containing protein,1.7408562890433,"unknown function, DUF3572",['Amino Acid Biosynthesis'],Low,No functional annotation beyond DUF3572 domain; treat as uncharacterized for grouping and DE analysis.,BFJEKD_14220,"['unknown function', 'DUF2786']",BFJEKD_14230,"['ABC transporter', 'glycerol-3-phosphate transport', 'membrane transporter', 'ATP-binding protein']"
BFJEKD_14695,DUF3008 domain-containing protein,-1.86896904606953,"unknown function, DUF3008",['Protein Processing & Degradation'],Low,No functional annotation or known homologs; domain of unknown function only; exclude from functional grouping or treat as unknown.,BFJEKD_14690,"['membrane protein', 'unknown function', 'DUF3100']",BFJEKD_14700,"['membrane protein', 'unknown function']"
BFJEKD_14700,DUF4142 domain-containing protein,-3.11329847915779,"membrane protein, unknown function",['Cell Wall & Envelope Biogenesis'],Medium,KO K08995 indicates a membrane protein with unknown function; no EC or GO terms available; COG category confirms unknown function.,BFJEKD_14695,"['unknown function', 'DUF3008']",BFJEKD_14705,['unknown function']
BFJEKD_14705,DUF2934 domain-containing protein,-3.77397086674234,unknown function,['Cell Wall & Envelope Biogenesis'],Low,"No KO, EC, GO, or COG annotations; only PFAM DUF2934 domain present; function unknown.",BFJEKD_14700,"['membrane protein', 'unknown function']",BFJEKD_14710,"['iron storage', 'ferritin-like protein']"
BFJEKD_14820,Uncharacterized protein (putative GTPase or ATPase),2.90286034395764,"hypothetical protein, unknown function",['Polyhydroxyalkanoates & Storage Lipids'],Low,No functional annotation available; sequence and domain analysis did not yield confident functional predictions. Consider experimental validation or further homology searches.,BFJEKD_14815,"['hypothetical protein', 'unknown function']",BFJEKD_14825,"['acetate metabolism', 'energy metabolism', 'phosphate acetyltransferase', 'acetyl-CoA biosynthesis']"
BFJEKD_15420,hypothetical protein,1.62516708075901,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; likely uncharacterized protein.,BFJEKD_15415,"['amino sugar metabolism', 'epimerase', 'cell wall biosynthesis']",BFJEKD_15425,"['membrane protein', 'O-antigen ligase-like', 'cell envelope biosynthesis']"
BFJEKD_15495,hypothetical protein,-2.72043905725504,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotations or domains detected; cannot assign function.,BFJEKD_15490,"['energy metabolism', 'glycerolipid metabolism', 'oxidoreductase']",BFJEKD_15500,"['photosynthesis', 'photosystem', 'membrane protein']"
BFJEKD_15830,hypothetical protein,-3.04160830000743,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation available; cannot be reliably grouped or used for differential expression functional analysis.,BFJEKD_15825,"['glyoxalase', 'detoxification', 'stress response']",BFJEKD_15835,"['aminoacyl-tRNA synthetase', 'translation', 'proline biosynthesis', 'protein synthesis']"
BFJEKD_17040,Hypothetical protein,2.27261093358936,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence suggests membrane localization but function unknown.,BFJEKD_17035,"['transcription regulation', 'sigma factor', 'RNA polymerase']",BFJEKD_17045,"['metallo-hydrolase', 'beta-lactamase superfamily', 'metal-dependent hydrolase']"
BFJEKD_18195,DUF3971 domain-containing protein (YhdR),-1.43844616986857,"unknown function, membrane-associated protein, DUF domain",['Amino Acid Biosynthesis'],Low,"No KO, EC, or GO annotations; COG indicates unknown function. Multiple membrane-associated domains suggest membrane localization but function unclear. Use caution in functional grouping.",BFJEKD_18190,"['nitrogen fixation', 'metalloenzyme', 'cofactor binding']",BFJEKD_18200,"['nitrogen metabolism', 'regulatory enzyme', 'posttranslational modification']"
BFJEKD_18360,EipB-like protein,-1.25808309720106,"unknown function, DUF1849",['Carbon Concentrating & Fixation'],Low,No functional annotation available beyond DUF1849 domain; consider experimental validation or comparative genomics for functional inference.,BFJEKD_18355,"['methylglyoxal pathway', 'glycolysis', 'metabolic enzyme']",BFJEKD_18365,"['oxidoreductase', 'FAD-dependent enzyme', 'redox metabolism']"
BFJEKD_18410,Hypothetical protein,1.65813727202054,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_18405,"['glutamine biosynthesis', 'nitrogen metabolism', 'amino acid biosynthesis', 'enzyme']",BFJEKD_18415,"['hypothetical protein', 'unknown function']"
BFJEKD_18650,Hypothetical protein,-3.18548054009537,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; likely uncharacterized protein.,BFJEKD_18645,"['hydrolase', 'isomerase', 'aromatic compound metabolism', 'tyrosine metabolism']",BFJEKD_18655,"['oxidoreductase', 'SDR family', 'fatty acid metabolism', 'dehydrogenase']"
BFJEKD_18700,Hypothetical Protein,-2.57158795017917,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; no KO, COG, GO, or PFAM domains detected. Consider experimental validation or further computational analysis.",BFJEKD_18695,"['polysaccharide biosynthesis', 'glucosyltransferase', 'osmoregulated periplasmic glucans']",BFJEKD_18705,"['polysaccharide biosynthesis', 'periplasmic glucan biosynthesis', 'osmoregulated periplasmic glucans']"
BFJEKD_18760,hypothetical protein,-2.92806228751478,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; sequence may represent a membrane protein based on hydrophobicity but no domain or ontology evidence.,BFJEKD_18755,"['toxin-antitoxin system', 'toxin', 'uncharacterized']",BFJEKD_18765,"['chemotaxis', 'signal transduction', 'membrane receptor']"
BFJEKD_19250,Hypothetical protein,1.38866827177215,"unknown function, hypothetical protein",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence likely membrane-associated but no confident function assigned.,BFJEKD_19245,"['formaldehyde detoxification', 'glutathione-dependent enzyme']",BFJEKD_19255,"['glycogen metabolism', 'carbohydrate metabolism', 'phosphorylase']"
BFJEKD_19335,Hypothetical protein,-1.73046377405457,"unknown function, hypothetical protein",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; sequence contains proline-rich region and possible membrane association but no confident functional assignment.,BFJEKD_19330,"['unknown function', 'hypothetical protein']",BFJEKD_19340,"['unknown function', 'hypothetical protein', 'membrane protein']"
BFJEKD_19340,Hypothetical protein,-3.57164345664092,"unknown function, hypothetical protein, membrane protein",['Secretion & Transport Systems'],Low,Short hydrophobic sequence suggests membrane localization but no functional annotation or domain detected.,BFJEKD_19335,"['unknown function', 'hypothetical protein']",BFJEKD_19345,"['unknown function', 'DUF1489']"
BFJEKD_19345,DUF1489 domain-containing protein,-3.67645831069981,"unknown function, DUF1489",['Secretion & Transport Systems'],Low,"Contains DUF1489 domain, function unknown; no KO, EC, or GO annotations; COG category indicates unknown function.",BFJEKD_19340,"['unknown function', 'hypothetical protein', 'membrane protein']",BFJEKD_19350,"['magnesium transport', 'cation transporter', 'P-type ATPase', 'membrane transporter', 'ion homeostasis']"
BFJEKD_19520,DUF4432 domain-containing protein,1.91374417244277,"unknown function, carbohydrate binding",['Secretion & Transport Systems'],Low,No KO or EC; only general GO terms and DUF domain; function remains uncharacterized.,BFJEKD_19515,"['ribose metabolism', 'pentose phosphate pathway', 'kinase', 'nucleotide biosynthesis']",BFJEKD_19525,"['membrane transporter', 'ABC transporter', 'amino acid transport']"
