Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_06740,hypothetical protein,1.17811750290787,"hypothetical, uncharacterized",['Secretion & Transport Systems'],Low,No functional annotation available; further analysis needed.,BFJEKD_06735,"['nucleotide metabolism', 'hydrolase', 'signal transduction', 'regulation']",BFJEKD_06745,"['heme biosynthesis', 'porphyrin metabolism', 'enzyme']"
BFJEKD_07330,Hypothetical protein,1.04747499532499,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; exclude or treat cautiously in downstream analyses.,BFJEKD_07325,"['transcription regulation', 'DNA-binding', 'GntR family']",BFJEKD_07335,"['endonuclease', 'DNA cleavage', 'HNH nuclease']"
BFJEKD_07345,DUF2384 domain-containing protein,-2.26975015298438,"unknown function, DUF2384",['Cell Wall & Envelope Biogenesis'],Low,Limited functional information; DNA binding GO term suggests possible nucleic acid interaction.,BFJEKD_07340,"['aminoacyl-tRNA synthetase', 'translation', 'tRNA modification']",BFJEKD_07350,"['RNA metabolism', 'RNA binding']"
BFJEKD_07395,DUF2889 domain-containing protein,-1.344887743398,"hypothetical protein, DUF2889",['Amino Acid Biosynthesis'],Low,"Function unknown; domain of unknown function, no clear pathway or activity assigned.",BFJEKD_07390,"['regulatory protein', 'CBS domain', 'signal transduction']",BFJEKD_07400,"['ribosomal protein', 'translation', 'protein biosynthesis']"
BFJEKD_07665,nan,1.32297346665786,hypothetical protein,['Amino Acid Biosynthesis'],Low,No functional annotation available.,BFJEKD_07660,"['fatty acid degradation', 'beta-oxidation', 'lipid metabolism']",BFJEKD_07670,"['ribosome', 'translation', 'protein synthesis']"
BFJEKD_08035,hypothetical protein,-3.04529016404596,"hypothetical protein, unknown function",['Protein Processing & Degradation'],Low,No functional annotation available; treat as unknown in downstream analyses.,BFJEKD_08030,"['membrane transporter', 'drug/metabolite transporter', 'DMT superfamily']",BFJEKD_08040,"['molecular chaperone', 'protein folding', 'stress response', 'ATPase']"
BFJEKD_08685,Hypothetical protein,3.85520282173872,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation available. Sequence and domain searches did not yield informative hits. Consider experimental validation or further computational analysis.,BFJEKD_08680,"['fatty acid biosynthesis', 'lipid metabolism', 'acyl carrier protein']",BFJEKD_08690,"['hypothetical protein', 'unknown function']"
BFJEKD_09375,hypothetical protein,-4.28604898372873,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; exclude or treat cautiously in downstream analyses.,BFJEKD_09370,"['membrane transporter', 'amino acid efflux', 'LysE family']",BFJEKD_09380,"['transcriptional regulator', 'LysR family', 'nitrogen metabolism']"
BFJEKD_09400,hypothetical protein,2.82957634549657,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown for downstream analysis.",BFJEKD_09395,"['DNA protection', 'stress response', 'iron storage']",BFJEKD_09405,"['transcriptional regulator', 'LysR family', 'DNA binding', 'regulation']"
BFJEKD_09865,PRC domain-containing protein,-1.75336908807793,"unknown function, PRC domain",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available; PRC domain presence suggests possible involvement in electron transport or redox processes but unconfirmed.,BFJEKD_09860,"['cell wall biogenesis', 'peptidoglycan metabolism', 'lytic transglycosylase']",BFJEKD_09870,"['unknown function', 'hypothetical protein']"
BFJEKD_09870,hypothetical protein,-4.67280111142654,"unknown function, hypothetical protein",['Polyhydroxyalkanoates & Storage Lipids'],Low,No annotation or domain information available; function unknown.,BFJEKD_09865,"['unknown function', 'PRC domain']",BFJEKD_09875,['unknown function']
BFJEKD_09875,Uncharacterized protein,-4.77051138771146,unknown function,['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; sequence too short for confident prediction.,BFJEKD_09870,"['unknown function', 'hypothetical protein']",BFJEKD_09880,"['membrane protein', 'unknown function']"
BFJEKD_09885,DUF3096 domain-containing protein,-3.72683726073708,"DUF3096, unknown function",['Secretion & Transport Systems'],Medium,"Contains DUF3096 domain (PF11310), a domain of unknown function; no further functional clues available.",BFJEKD_09880,"['membrane protein', 'unknown function']",BFJEKD_09890,['unknown function']
BFJEKD_09890,Uncharacterized protein,-4.93161161460511,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09885,"['DUF3096', 'unknown function']",BFJEKD_09895,['unknown function']
BFJEKD_09895,Uncharacterized protein,-4.49108537291619,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09890,['unknown function'],BFJEKD_09900,"['oxidoreductase', 'short-chain dehydrogenase', 'membrane-associated']"
BFJEKD_10330,DUF1837 domain-containing protein,1.13275568755651,"unknown function, DUF domain",['Unknown & Hypothetical Proteins'],Low,"No functional annotation beyond DUF domain. No KO, EC, GO, or COG data. Should be treated as unknown in downstream analyses.",BFJEKD_10325,"['RNA helicase', 'ATP-dependent helicase', 'RNA metabolism']",BFJEKD_10335,"['unknown function', 'DUF952']"
BFJEKD_10930,hypothetical protein,-1.79098431341232,unknown function,"['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; sequence may require further experimental or computational characterization.,BFJEKD_10925,"['photosynthesis', 'pigment biosynthesis', 'oxidoreductase', 'membrane protein']",BFJEKD_10935,"['signal transduction', 'diguanylate cyclase', 'PAS domain']"
BFJEKD_10960,DUF485 domain-containing protein (putative membrane protein),-3.38736341075978,"membrane protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No KO or EC; only membrane localization known; function unknown.,BFJEKD_10955,"['membrane transporter', 'symporter', 'cation transport', 'acetate transport']",BFJEKD_10965,"['hypothetical protein', 'uncharacterized']"
BFJEKD_11140,hypothetical protein,1.39419214481464,hypothetical protein,['Unknown & Hypothetical Proteins'],Low,Lacks functional annotations; may be uncharacterized or novel. Further analysis needed for grouping or DE.,BFJEKD_11135,"['cobalamin biosynthesis', 'accessory protein', 'metabolic process']",BFJEKD_11145,"['tRNA', 'translation']"
BFJEKD_11190,Hydrolase (putative),-1.34715892298582,"hydrolase, enzyme, unknown specificity",['Cell Wall & Envelope Biogenesis'],Medium,"Only general hydrolase GO term available; no KO, EC, or PFAM domains; treat as putative hydrolase for grouping.",BFJEKD_11185,"['transcriptional regulator', 'TetR family', 'DNA binding']",BFJEKD_11195,"['hypothetical protein', 'unknown function']"
BFJEKD_11500,DUF1178 domain-containing protein,-1.4592358932048901,"unknown function, DUF domain",['Unknown & Hypothetical Proteins'],Low,Function not characterized; potential for novel activity.,BFJEKD_11495,"['hydrolase', 'glutathione metabolism', 'amidohydrolase']",BFJEKD_11505,"['two-component system', 'histidine kinase', 'signal transduction']"
BFJEKD_11795,hypothetical protein,-2.83435998185089,"hypothetical, unknown function",['Amino Acid Biosynthesis'],Low,Lacks functional annotation; may be a non-characterized or novel protein.,BFJEKD_11790,"['substrate-binding', 'methionine transport', 'lipoprotein', 'ABC transporter']",BFJEKD_11800,"['amino acid biosynthesis', 'cysteine metabolism', 'transferase']"
BFJEKD_12150,Hypothetical protein,-1.16229527412424,"hypothetical protein, unknown function",['Carbon Concentrating & Fixation'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_12145,"['sulfotransferase', 'post-translational modification', 'sulfur metabolism']",BFJEKD_12155,"['membrane transporter', 'MFS transporter', 'multidrug resistance', 'efflux pump']"
BFJEKD_12210,Uncharacterized membrane protein,1.97418630591939,"hypothetical protein, membrane-associated",['Polyhydroxyalkanoates & Storage Lipids'],Low,No functional annotation available; sequence suggests possible membrane association but no domain or ontology evidence.,BFJEKD_12205,"['protease', 'WD40 repeat', 'protein binding']",BFJEKD_12215,"['outer membrane protein', 'membrane structural protein', 'cell envelope']"
BFJEKD_12350,DUF3018 domain-containing protein,-2.16396225570342,"unknown function, DUF3018",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping or DE analysis.,BFJEKD_12345,"['biosynthesis', 'ATP-grasp enzyme', 'Ter operon associated']",BFJEKD_12355,"['carbon-carbon lyase', 'metabolism', 'ATP-binding']"
BFJEKD_12510,DUF6481 domain-containing protein,1.20672339560727,"unknown function, DUF-containing protein",['Carbon Concentrating & Fixation'],Low,"No KO, EC, GO, COG or PFAM domains identified; function unknown.",BFJEKD_12505,"['hydrogenase maturation', 'nickel metallochaperone', 'metal ion transport']",BFJEKD_12515,"['amino acid metabolism', 'threonine degradation', 'alcohol dehydrogenase']"
BFJEKD_12775,Hypothetical protein,-4.08023052366511,"hypothetical protein, transcription",['Secretion & Transport Systems'],Low,"Only a single general GO term related to transcription is available. No KO, EC, COG, or PFAM domains detected. Annotation is minimal and uncertain.",BFJEKD_12770,"['toxin-antitoxin system', 'mRNA interferase', 'endonuclease', 'stress response', 'post-transcriptional regulation']",BFJEKD_12780,"['transcriptional regulator', 'MarR family', 'stress response', 'DNA-binding protein']"
BFJEKD_13055,DUF892 domain-containing protein,-2.49446976341866,"unknown function, DUF892",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping.,BFJEKD_13050,"['ethanolamine metabolism', 'ammonia-lyase', 'B12-dependent enzyme']",BFJEKD_13060,"['two-component system', 'histidine kinase', 'signal transduction', 'quorum sensing']"
BFJEKD_13405,DUF4139 domain-containing protein,-2.47003333310351,"unknown function, DUF4139",['Secretion & Transport Systems'],Low,No functional annotation beyond domain of unknown function; limited utility for functional grouping or DE analysis.,BFJEKD_13400,"['amino sugar metabolism', 'peptidoglycan biosynthesis', 'phosphomutase']",BFJEKD_13410,"['thiamine metabolism', 'vitamin biosynthesis', 'kinase']"
BFJEKD_13800,CsbD family protein,-4.09892654577195,"stress response, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"Protein belongs to CsbD family, implicated in stress response but function not well characterized; no KO, EC, or GO annotations.",BFJEKD_13795,"['amino acid metabolism', 'stress response', 'endoribonuclease']",BFJEKD_13805,"['post-translational modification', 'deacetylase', 'protein turnover']"
BFJEKD_14210,Hypothetical protein,1.33319447060852,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM data.",BFJEKD_14205,"['transcriptional regulator', 'DNA binding', 'GntR family']",BFJEKD_14215,"['hypothetical protein', 'unknown function']"
BFJEKD_14225,DUF3572 domain-containing protein,1.8404641968623,"unknown function, DUF3572",['Amino Acid Biosynthesis'],Low,No functional annotation beyond DUF3572 domain; treat as uncharacterized for grouping and DE analysis.,BFJEKD_14220,"['unknown function', 'DUF2786']",BFJEKD_14230,"['ABC transporter', 'glycerol-3-phosphate transport', 'membrane transporter', 'ATP-binding protein']"
BFJEKD_14695,DUF3008 domain-containing protein,-2.93153322408634,"unknown function, DUF3008",['Protein Processing & Degradation'],Low,No functional annotation or known homologs; domain of unknown function only; exclude from functional grouping or treat as unknown.,BFJEKD_14690,"['membrane protein', 'unknown function', 'DUF3100']",BFJEKD_14700,"['membrane protein', 'unknown function']"
BFJEKD_14700,DUF4142 domain-containing protein,-5.45647128273438,"membrane protein, unknown function",['Cell Wall & Envelope Biogenesis'],Medium,KO K08995 indicates a membrane protein with unknown function; no EC or GO terms available; COG category confirms unknown function.,BFJEKD_14695,"['unknown function', 'DUF3008']",BFJEKD_14705,['unknown function']
BFJEKD_14705,DUF2934 domain-containing protein,-5.77342568169247,unknown function,['Cell Wall & Envelope Biogenesis'],Low,"No KO, EC, GO, or COG annotations; only PFAM DUF2934 domain present; function unknown.",BFJEKD_14700,"['membrane protein', 'unknown function']",BFJEKD_14710,"['iron storage', 'ferritin-like protein']"
BFJEKD_15420,hypothetical protein,1.43410582949632,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; likely uncharacterized protein.,BFJEKD_15415,"['amino sugar metabolism', 'epimerase', 'cell wall biosynthesis']",BFJEKD_15425,"['membrane protein', 'O-antigen ligase-like', 'cell envelope biosynthesis']"
BFJEKD_15495,hypothetical protein,-2.88001282825552,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotations or domains detected; cannot assign function.,BFJEKD_15490,"['energy metabolism', 'glycerolipid metabolism', 'oxidoreductase']",BFJEKD_15500,"['photosynthesis', 'photosystem', 'membrane protein']"
BFJEKD_15830,hypothetical protein,-2.3528227411362,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation available; cannot be reliably grouped or used for differential expression functional analysis.,BFJEKD_15825,"['glyoxalase', 'detoxification', 'stress response']",BFJEKD_15835,"['aminoacyl-tRNA synthetase', 'translation', 'proline biosynthesis', 'protein synthesis']"
BFJEKD_16325,hypothetical protein,-2.11889410221574,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence available but no known homologs or domains.,BFJEKD_16320,"['toxin-antitoxin system', 'endoribonuclease', 'mRNA interferase', 'stress response']",BFJEKD_16330,"['LPS biosynthesis', 'glycosyltransferase', 'cell wall biosynthesis']"
BFJEKD_17040,Hypothetical protein,2.04309045126983,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence suggests membrane localization but function unknown.,BFJEKD_17035,"['transcription regulation', 'sigma factor', 'RNA polymerase']",BFJEKD_17045,"['metallo-hydrolase', 'beta-lactamase superfamily', 'metal-dependent hydrolase']"
BFJEKD_18020,YgiQ family radical SAM protein,1.14214485734241,"radical SAM enzyme, unknown function, radical chemistry",['Amino Acid Biosynthesis'],Medium,No KO or EC; radical SAM domain suggests involvement in radical-based enzymatic reactions; function unknown.,BFJEKD_18015,"['amino acid biosynthesis', 'oxidoreductase', 'serine metabolism']",BFJEKD_18025,"['transcriptional regulator', 'LysR family', 'DNA binding']"
BFJEKD_18195,DUF3971 domain-containing protein (YhdR),-1.09076681484581,"unknown function, membrane-associated protein, DUF domain",['Amino Acid Biosynthesis'],Low,"No KO, EC, or GO annotations; COG indicates unknown function. Multiple membrane-associated domains suggest membrane localization but function unclear. Use caution in functional grouping.",BFJEKD_18190,"['nitrogen fixation', 'metalloenzyme', 'cofactor binding']",BFJEKD_18200,"['nitrogen metabolism', 'regulatory enzyme', 'posttranslational modification']"
BFJEKD_18360,EipB-like protein,-2.05577555132182,"unknown function, DUF1849",['Carbon Concentrating & Fixation'],Low,No functional annotation available beyond DUF1849 domain; consider experimental validation or comparative genomics for functional inference.,BFJEKD_18355,"['methylglyoxal pathway', 'glycolysis', 'metabolic enzyme']",BFJEKD_18365,"['oxidoreductase', 'FAD-dependent enzyme', 'redox metabolism']"
BFJEKD_18410,Hypothetical protein,1.19811172277643,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_18405,"['glutamine biosynthesis', 'nitrogen metabolism', 'amino acid biosynthesis', 'enzyme']",BFJEKD_18415,"['hypothetical protein', 'unknown function']"
BFJEKD_18700,Hypothetical Protein,-2.10443427779499,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; no KO, COG, GO, or PFAM domains detected. Consider experimental validation or further computational analysis.",BFJEKD_18695,"['polysaccharide biosynthesis', 'glucosyltransferase', 'osmoregulated periplasmic glucans']",BFJEKD_18705,"['polysaccharide biosynthesis', 'periplasmic glucan biosynthesis', 'osmoregulated periplasmic glucans']"
BFJEKD_18760,hypothetical protein,-2.08542535970227,"hypothetical protein, unknown function","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; sequence may represent a membrane protein based on hydrophobicity but no domain or ontology evidence.,BFJEKD_18755,"['toxin-antitoxin system', 'toxin', 'uncharacterized']",BFJEKD_18765,"['chemotaxis', 'signal transduction', 'membrane receptor']"
BFJEKD_18870,DUF2066 domain-containing protein,-1.07787938732603,"uncharacterized, conserved hypothetical, DUF domain",['Polyhydroxyalkanoates & Storage Lipids'],Low,"No functional annotation available beyond DUF2066 domain. No KO, EC, GO, or COG terms assigned. Protein likely conserved but function unknown. Should be treated as uncharacterized in downstream analyses.",BFJEKD_18865,"['lipid metabolism', 'phospholipid biosynthesis', 'membrane enzyme']",BFJEKD_18875,"['purine biosynthesis', 'nucleotide metabolism', 'ligase enzyme']"
BFJEKD_19240,DUF3253 domain-containing protein,-1.12057045965023,"unknown function, DUF3253",['Unknown & Hypothetical Proteins'],Low,No functional annotation available; domain of unknown function only. Not suitable for confident grouping or DE analysis.,BFJEKD_19235,"['lipid metabolism', 'fatty acid degradation', 'enoyl-CoA hydratase']",BFJEKD_19245,"['formaldehyde detoxification', 'glutathione-dependent enzyme']"
BFJEKD_19250,Hypothetical protein,1.40336904658025,"unknown function, hypothetical protein",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence likely membrane-associated but no confident function assigned.,BFJEKD_19245,"['formaldehyde detoxification', 'glutathione-dependent enzyme']",BFJEKD_19255,"['glycogen metabolism', 'carbohydrate metabolism', 'phosphorylase']"
BFJEKD_19325,DUF883 domain-containing protein ElaB,-3.09769964661696,"stress response, unknown function, DUF883",['Unknown & Hypothetical Proteins'],Low,"Annotated as DUF883 domain protein ElaB, likely involved in stress response but function unknown; no KO, EC, GO or PFAM domains available; COG category indicates unknown function.",BFJEKD_19320,"['transcriptional regulator', 'LysR family', 'gene regulation']",BFJEKD_19330,"['unknown function', 'hypothetical protein']"
BFJEKD_19330,Hypothetical protein,-2.12193468465211,"unknown function, hypothetical protein",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain information available; sequence suggests possible membrane localization but no confident assignment.,BFJEKD_19325,"['stress response', 'unknown function', 'DUF883']",BFJEKD_19335,"['unknown function', 'hypothetical protein']"
BFJEKD_19335,Hypothetical protein,-2.382428447965,"unknown function, hypothetical protein",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; sequence contains proline-rich region and possible membrane association but no confident functional assignment.,BFJEKD_19330,"['unknown function', 'hypothetical protein']",BFJEKD_19340,"['unknown function', 'hypothetical protein', 'membrane protein']"
BFJEKD_19340,Hypothetical protein,-3.24987520776675,"unknown function, hypothetical protein, membrane protein",['Secretion & Transport Systems'],Low,Short hydrophobic sequence suggests membrane localization but no functional annotation or domain detected.,BFJEKD_19335,"['unknown function', 'hypothetical protein']",BFJEKD_19345,"['unknown function', 'DUF1489']"
BFJEKD_19345,DUF1489 domain-containing protein,-3.18449919159425,"unknown function, DUF1489",['Secretion & Transport Systems'],Low,"Contains DUF1489 domain, function unknown; no KO, EC, or GO annotations; COG category indicates unknown function.",BFJEKD_19340,"['unknown function', 'hypothetical protein', 'membrane protein']",BFJEKD_19350,"['magnesium transport', 'cation transporter', 'P-type ATPase', 'membrane transporter', 'ion homeostasis']"
BFJEKD_19520,DUF4432 domain-containing protein,1.48825494287269,"unknown function, carbohydrate binding",['Secretion & Transport Systems'],Low,No KO or EC; only general GO terms and DUF domain; function remains uncharacterized.,BFJEKD_19515,"['ribose metabolism', 'pentose phosphate pathway', 'kinase', 'nucleotide biosynthesis']",BFJEKD_19525,"['membrane transporter', 'ABC transporter', 'amino acid transport']"
BFJEKD_19745,Hypothetical protein,-5.01145854520164,hypothetical protein,['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain information; short sequence with no known features.,BFJEKD_19740,"['ABC transporter', 'membrane transporter', 'ATPase']",BFJEKD_19750,"['hypothetical protein', 'unknown function']"
