Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_04610,DUF423 domain-containing protein,-1.15442506802418,"membrane protein, unknown function, DUF domain",['Amino Acid Biosynthesis'],Medium,Protein contains a DUF423 domain with membrane localization GO terms; no KO or EC; function unknown but likely membrane-associated; useful to track as unknown membrane protein in expression studies.,BFJEKD_04605,"['two-component system', 'signal transduction', 'response regulator', 'chemotaxis']",BFJEKD_04615,"['hypothetical protein', 'unknown function']"
BFJEKD_05600,hypothetical protein,-1.68737288377256,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown in downstream analyses.",BFJEKD_05595,"['cell wall biosynthesis', 'penicillin-binding protein', 'membrane enzyme', 'peptidoglycan synthesis']",BFJEKD_05605,"['two-component system', 'response regulator', 'transcription regulation', 'signal transduction']"
BFJEKD_06105,Hypothetical protein,1.14091582550279,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; remains hypothetical.,BFJEKD_06100,"['signal transduction', 'cAMP metabolism', 'phosphodiesterase']",BFJEKD_06110,"['two-component system', 'chemotaxis', 'signal transduction']"
BFJEKD_06165,Hypothetical protein,1.0947589784216,"electron transport, heme binding, iron binding, energy metabolism",['Toxin-Antitoxin & Phage Defense'],Low,"No KO or COG; GO terms suggest involvement in electron transport and metal binding; annotation incomplete, treat as hypothetical with potential role in energy metabolism.",BFJEKD_06160,"['metal ion transport', 'nickel transport', 'ABC transporter', 'periplasmic component']",BFJEKD_06170,"['dioxygenase', 'glyoxalase', 'secondary metabolism']"
BFJEKD_07665,nan,-1.37784716933513,hypothetical protein,['Amino Acid Biosynthesis'],Low,No functional annotation available.,BFJEKD_07660,"['fatty acid degradation', 'beta-oxidation', 'lipid metabolism']",BFJEKD_07670,"['ribosome', 'translation', 'protein synthesis']"
BFJEKD_08035,hypothetical protein,1.53707077619623,"hypothetical protein, unknown function",['Protein Processing & Degradation'],Low,No functional annotation available; treat as unknown in downstream analyses.,BFJEKD_08030,"['membrane transporter', 'drug/metabolite transporter', 'DMT superfamily']",BFJEKD_08040,"['molecular chaperone', 'protein folding', 'stress response', 'ATPase']"
BFJEKD_09020,DUF2971 domain-containing protein,-2.83023583223644,"unknown function, DUF2971",['Amino Acid Biosynthesis'],Low,No functional annotation available beyond DUF2971 domain; treat as uncharacterized protein in grouping and DE analysis.,BFJEKD_09015,"['selenoprotein', 'unknown function']",BFJEKD_09025,"['tRNA', 'translation']"
BFJEKD_09890,Uncharacterized protein,1.27851870268837,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09885,"['DUF3096', 'unknown function']",BFJEKD_09895,['unknown function']
BFJEKD_09895,Uncharacterized protein,1.40546329355164,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.,BFJEKD_09890,['unknown function'],BFJEKD_09900,"['oxidoreductase', 'short-chain dehydrogenase', 'membrane-associated']"
BFJEKD_10960,DUF485 domain-containing protein (putative membrane protein),1.40518309198444,"membrane protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No KO or EC; only membrane localization known; function unknown.,BFJEKD_10955,"['membrane transporter', 'symporter', 'cation transport', 'acetate transport']",BFJEKD_10965,"['hypothetical protein', 'uncharacterized']"
BFJEKD_11560,DUF4167 domain-containing protein,-2.22913445186365,"unknown function, DUF4167","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; domain of unknown function. Consider as uncharacterized in downstream analyses.,BFJEKD_11555,"['translation release factor modification', 'methyltransferase', 'posttranslational modification']",BFJEKD_11565,"['chaperone', 'stress response', 'protein folding', 'ATPase']"
BFJEKD_11795,hypothetical protein,1.0811417462617,"hypothetical, unknown function",['Amino Acid Biosynthesis'],Low,Lacks functional annotation; may be a non-characterized or novel protein.,BFJEKD_11790,"['substrate-binding', 'methionine transport', 'lipoprotein', 'ABC transporter']",BFJEKD_11800,"['amino acid biosynthesis', 'cysteine metabolism', 'transferase']"
BFJEKD_12235,Uncharacterized protein,-2.35278296978075,unknown function,['Secretion & Transport Systems'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12230,"['peptidoglycan binding', 'cell wall biogenesis', 'DUF4384']",BFJEKD_12240,['unknown function']
BFJEKD_12240,Uncharacterized protein,-2.39495691422693,unknown function,['Carbon Concentrating & Fixation'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12235,['unknown function'],BFJEKD_12245,['unknown function']
BFJEKD_12245,Uncharacterized protein,-2.19231449690448,unknown function,['Amino Acid Biosynthesis'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12240,['unknown function'],BFJEKD_12250,"['hydrolase', 'esterase', 'enzyme activity']"
BFJEKD_12350,DUF3018 domain-containing protein,1.47111907387277,"unknown function, DUF3018",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; low confidence for functional grouping or DE analysis.,BFJEKD_12345,"['biosynthesis', 'ATP-grasp enzyme', 'Ter operon associated']",BFJEKD_12355,"['carbon-carbon lyase', 'metabolism', 'ATP-binding']"
BFJEKD_12775,Hypothetical protein,1.73892755644952,"hypothetical protein, transcription",['Secretion & Transport Systems'],Low,"Only a single general GO term related to transcription is available. No KO, EC, COG, or PFAM domains detected. Annotation is minimal and uncertain.",BFJEKD_12770,"['toxin-antitoxin system', 'mRNA interferase', 'endonuclease', 'stress response', 'post-transcriptional regulation']",BFJEKD_12780,"['transcriptional regulator', 'MarR family', 'stress response', 'DNA-binding protein']"
BFJEKD_13800,CsbD family protein,2.35896187594086,"stress response, unknown function",['Cell Wall & Envelope Biogenesis'],Low,"Protein belongs to CsbD family, implicated in stress response but function not well characterized; no KO, EC, or GO annotations.",BFJEKD_13795,"['amino acid metabolism', 'stress response', 'endoribonuclease']",BFJEKD_13805,"['post-translational modification', 'deacetylase', 'protein turnover']"
BFJEKD_14210,Hypothetical protein,-2.26386605625731,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM data.",BFJEKD_14205,"['transcriptional regulator', 'DNA binding', 'GntR family']",BFJEKD_14215,"['hypothetical protein', 'unknown function']"
BFJEKD_14215,Hypothetical protein,-2.64436760818717,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM data.",BFJEKD_14210,"['hypothetical protein', 'unknown function']",BFJEKD_14220,"['unknown function', 'DUF2786']"
BFJEKD_14690,"Membrane protein, putative (DUF3100)",-2.1237003950238,"membrane protein, unknown function, DUF3100",['Amino Acid Biosynthesis'],Low,No functional annotation available; only domain of unknown function detected; treat as unknown in grouping and DE analysis.,BFJEKD_14685,"['membrane transporter', 'ion transport', 'sodium/hydrogen antiporter', 'cation transport']",BFJEKD_14695,"['unknown function', 'DUF3008']"
BFJEKD_15310,hypothetical protein,1.80682303605745,hypothetical protein,['Unknown & Hypothetical Proteins'],Low,No detectable domains or annotations; small protein,BFJEKD_15305,"['ketone body metabolism', 'CoA transferase']",BFJEKD_15315,"['ABC transporter', 'substrate binding', 'membrane transport']"
BFJEKD_16325,hypothetical protein,1.89184473422643,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence available but no known homologs or domains.,BFJEKD_16320,"['toxin-antitoxin system', 'endoribonuclease', 'mRNA interferase', 'stress response']",BFJEKD_16330,"['LPS biosynthesis', 'glycosyltransferase', 'cell wall biosynthesis']"
BFJEKD_17240,hypothetical protein,-1.77927417710187,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected. Likely uncharacterized protein.,BFJEKD_17235,"['DNA repair', 'homologous recombination', 'RecF pathway', 'recombination protein']",BFJEKD_17245,"['GTPase', 'ribosome biogenesis', '16S rRNA processing', 'cell cycle regulation']"
BFJEKD_17645,DUF934 domain-containing protein,1.93936249048592,"unknown function, conserved protein, DUF934",['Amino Acid Biosynthesis'],Low,"No functional annotation beyond conserved domain; lacks KO, EC, and GO terms; treat as unknown in functional grouping and DE analysis.",BFJEKD_17640,"['sulfur metabolism', 'reductase', 'sulfate reduction']",BFJEKD_17650,"['sulfur metabolism', 'sulfite reductase', 'oxidoreductase']"
BFJEKD_18360,EipB-like protein,1.25284728718065,"unknown function, DUF1849",['Carbon Concentrating & Fixation'],Low,No functional annotation available beyond DUF1849 domain; consider experimental validation or comparative genomics for functional inference.,BFJEKD_18355,"['methylglyoxal pathway', 'glycolysis', 'metabolic enzyme']",BFJEKD_18365,"['oxidoreductase', 'FAD-dependent enzyme', 'redox metabolism']"
BFJEKD_18415,Hypothetical protein,-1.81725184456438,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_18410,"['hypothetical protein', 'unknown function']",BFJEKD_18420,"['oxygen binding', 'metal ion binding', 'iron transport', 'stress response']"
