Locus_Tag,Protein Name,Functional_Group_Name,KO_IDs,KEGG_Pathway_IDs,KEGG_Pathway_Names,KEGG_Pathway_Categories,COG_Category_ID,COG_Category_Name,EC_Numbers,EC_Descriptions,GO_IDs,GO_Names,PFAM_Domains,Tags,Subcategories,Confidence_Score,Notes,
BFJEKD_00080,Site-specific DNA recombinase SpoIVCA / DNA invertase PinE,Site-specific recombinase,,,,,L,"Replication, recombination and repair",,,"['GO:0000150', 'GO:0003677', 'GO:0006310']","['DNA recombination', 'DNA binding', 'DNA integration']","[{'id': 'PF00589', 'name': 'Resolvase'}]","['site-specific recombinase', 'DNA recombination', 'mobile genetic element']",['Secretion & Transport Systems'],High,Well annotated with COG and GO terms consistent with site-specific recombinase function; no KO or EC available but PFAM and GO strongly support function.,
BFJEKD_00085,HTH-7 domain-containing protein (Resolvase-related),Putative site-specific recombinase / DNA binding protein,,,,,,,,,,,"[{'id': 'PF00589', 'name': 'Resolvase'}]","['putative recombinase', 'DNA binding']",['Cofactors & Vitamin Metabolism'],Low,"Limited annotation; PFAM domain suggests resolvase function but no supporting GO, KO, or COG data; annotation is tentative.",
BFJEKD_00090,MFS transporter,Major Facilitator Superfamily transporter,,,,,G,Carbohydrate transport and metabolism,,,"['GO:0022857', 'GO:0055085', 'GO:0016020']","['transmembrane transporter activity', 'membrane potential', 'membrane']","[{'id': 'PF07690', 'name': 'MFS_1'}, {'id': 'PF00083', 'name': 'Sugar_tr'}]","['membrane transporter', 'MFS transporter', 'sugar transport']",['Unknown & Hypothetical Proteins'],High,"Strong evidence from GO, COG, and PFAM domains for MFS sugar transporter function; no KO or EC assigned.",
BFJEKD_00095,O-methyltransferase,Methyltransferase,,,,,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,['GO:0008171'],['S-adenosylmethionine-dependent methyltransferase activity'],"[{'id': 'PF08241', 'name': 'Methyltransf_24'}, {'id': 'PF01596', 'name': 'Methyltransf_3'}]","['methyltransferase', 'SAM-dependent methyltransferase']",['Transcription Machinery & Regulators'],High,Clear methyltransferase function supported by PFAM and GO; no KO or EC assigned but function well defined.,
BFJEKD_00100,Hypothetical membrane protein (YitT family),Membrane protein,['K07149'],['map02010'],['ABC transporters'],['Membrane transport'],M,Cell wall/membrane/envelope biogenesis,,,,,"[{'id': 'PF07690', 'name': 'YitT_membrane'}]","['membrane protein', 'ABC transporter related']",['DNA Recombination & Repair'],Medium,KO assignment to K07149 suggests ABC transporter related function; PFAM supports membrane localization; no GO or EC data.,
BFJEKD_00105,LysR family transcriptional regulator,Transcriptional regulator,,,,,COG0583,Transcription,,,"['GO:0006355', 'GO:0003700']","['regulation of transcription, DNA-templated', 'sequence-specific DNA binding RNA polymerase II transcription factor activity']","[{'id': 'PF00126', 'name': 'HTH_1'}, {'id': 'PF03466', 'name': 'LysR_substrate'}]","['transcription regulation', 'DNA-binding', 'LysR family']",['Mobile Genetic Elements & Plasmid'],High,"Well-annotated LysR-type transcriptional regulator, important for gene expression control; useful for grouping under transcriptional regulators.",
BFJEKD_00110,Site-specific recombinase XerD,DNA recombination and repair,['K07357'],['ko03400'],['DNA replication'],['Genetic Information Processing'],COG4974,Recombination and repair,,,"['GO:0006310', 'GO:0003677', 'GO:0015074']","['DNA recombination', 'DNA binding', 'DNA integration']","[{'id': 'PF00589', 'name': 'Phage_integrase'}]","['site-specific recombination', 'DNA repair', 'integrase']",['Mobile Genetic Elements & Plasmid'],High,XerD is a well-characterized site-specific recombinase involved in chromosome dimer resolution; important for DNA repair and recombination grouping.,
BFJEKD_00115,Putative transposase protein,Mobile genetic elements - transposase,['K07493'],['ko03400'],['DNA replication'],['Genetic Information Processing'],,,,,"['GO:0006313', 'GO:0004803', 'GO:0003677']","['transposition, DNA-mediated', 'transposase activity', 'DNA binding']","[{'id': 'PF01527', 'name': 'Transposase_mut'}]","['transposase', 'mobile genetic element', 'DNA transposition']",['General Enzymes & Catalysis'],Medium,Putative transposase with KO and GO support but no COG; relevant for mobile element grouping and genome plasticity studies.,
BFJEKD_00120,IS256 family transposase,Mobile genetic elements - transposase,['K07493'],['ko03400'],['DNA replication'],['Genetic Information Processing'],COG3328,Transposase and inactivated derivatives,,,"['GO:0006313', 'GO:0004803', 'GO:0003677']","['transposition, DNA-mediated', 'transposase activity', 'DNA binding']","[{'id': 'PF01527', 'name': 'Transposase_mut'}]","['transposase', 'mobile genetic element', 'DNA transposition']",['Toxin-Antitoxin & Phage Defense'],High,"IS256 family transposase with full KO, COG, GO, and PFAM support; strong evidence for mobile element function.",
BFJEKD_00125,Putative nucleotidyltransferase MJ0435,Nucleotidyltransferase / Nucleotide metabolism,['K07075'],['ko00230'],['Purine metabolism'],['Metabolism'],COG1669,Nucleotidyltransferase,,,['GO:0016779'],['nucleotidyltransferase activity'],"[{'id': 'PF00905', 'name': 'NTP_transf_2'}]","['nucleotidyltransferase', 'nucleotide metabolism', 'enzyme']",['DNA Recombination & Repair'],High,Nucleotidyltransferase with KO and GO annotation; relevant for nucleotide metabolism and enzymatic activity grouping.,
BFJEKD_00130,"HEPN domain protein, putative toxin of MNT-HEPN system",Toxin-Antitoxin System Protein,,,,,COG2361,Toxin-antitoxin system component,,,"['GO:0004540', 'GO:0110001']","['ribonuclease activity', 'nucleic acid phosphodiester bond hydrolysis']","[{'id': 'PF01944', 'name': 'HEPN domain'}, {'id': 'PF01394', 'name': 'DUF86'}]","['toxin-antitoxin system', 'ribonuclease', 'toxin']",['Unknown & Hypothetical Proteins'],Medium,Protein likely part of MNT-HEPN toxin-antitoxin system; lacks KO and EC but GO and COG support ribonuclease toxin function.,
BFJEKD_00135,DNA invertase,Site-specific Recombinase,['K14060'],['ko03400'],['DNA repair and recombination proteins'],['Genetic Information Processing'],COG1961,Site-specific recombinase,,,"['GO:0000150', 'GO:0003677', 'GO:0006310']","['DNA invertase activity', 'DNA binding', 'DNA recombination']","[{'id': 'PF01381', 'name': 'HTH_7'}, {'id': 'PF00239', 'name': 'Resolvase'}]","['site-specific recombinase', 'DNA recombination', 'prophage']",['Mobile Genetic Elements & Plasmid'],High,KO annotation present and consistent with GO and COG; involved in prophage-related DNA recombination.,
BFJEKD_00140,hypothetical protein,Uncharacterized Protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain detected; likely uncharacterized.,
BFJEKD_00145,TraK family protein,Conjugative Transfer Protein,,,,,,,,,,,,"['conjugation', 'plasmid transfer', 'type IV secretion system']",['Mobile Genetic Elements & Plasmid'],Low,"No KO, GO, COG or PFAM annotations; product name suggests role in conjugative plasmid transfer.",
BFJEKD_00150,IS256 family transposase,Transposase,['K07493'],['ko03022'],['Transposase and related proteins'],['Genetic Information Processing'],COG3328,Transposase,,,"['GO:0006313', 'GO:0004803', 'GO:0003677']","['transposition, DNA-mediated', 'endonuclease activity', 'DNA binding']","[{'id': 'PF01527', 'name': 'Transposase_mut'}]","['transposase', 'mobile genetic element', 'DNA recombination']",['Cell Wall & Envelope Biogenesis'],High,KO and GO annotations consistent; typical IS256 family transposase involved in DNA transposition.,
BFJEKD_00155,Transposase mutator type,Mobile Genetic Element Protein,['K07493'],['ko04512'],['Transposase'],['Genetic Information Processing'],,,,,"['GO:0006313', 'GO:0004803', 'GO:0003677']","['DNA recombination', 'transposase activity', 'DNA binding']","[{'id': 'PF01609', 'name': 'Transposase_mut'}]","['transposase', 'mobile element', 'DNA recombination']",['Aromatic Amino Acid Biosynthesis'],High,Well-annotated transposase with KO and GO terms supporting mobile genetic element function; useful for grouping mobile element related genes.,
BFJEKD_00160,Lipopolysaccharide biosynthesis protein,Cell Wall Biogenesis Enzyme,,,,,COG3754,Cell wall/membrane/envelope biogenesis,,,['GO:0016757'],"['transferase activity, transferring glycosyl groups']","[{'id': 'PF13847', 'name': 'Methyltransf_24'}]","['lipopolysaccharide biosynthesis', 'methyltransferase', 'cell wall biogenesis']",['Cell Wall & Envelope Biogenesis'],Medium,"Protein likely involved in LPS biosynthesis via methyltransferase activity; lacks KO and EC annotations, but PFAM and GO support function.",
BFJEKD_00165,"GDP-mannose 4,6 dehydratase",Nucleotide Sugar Metabolism Enzyme,['K01784'],['ko00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG0451,Carbohydrate transport and metabolism,['5.1.3.2'],"['GDP-mannose 4,6-dehydratase']","['GO:0003974', 'GO:0070403', 'GO:0003952', 'GO:0004359', 'GO:0036498', 'GO:0005886', 'GO:0006047', 'GO:0035167', 'GO:0045227', 'GO:0016757']","['GDP-mannose 4,6-dehydratase activity', 'cell wall polysaccharide biosynthetic process', 'GDP-mannose 4,6-dehydratase activity', 'GDP-mannose 4,6-dehydratase activity', 'nucleotide-sugar metabolic process', 'plasma membrane', 'polysaccharide biosynthetic process', 'nucleotide-sugar metabolic process', 'carbohydrate metabolic process', 'transferase activity, transferring glycosyl groups']","[{'id': 'PF01370', 'name': 'Epimerase'}, {'id': 'PF16363', 'name': 'GDP_Man_Dehyd'}]","['nucleotide sugar metabolism', 'carbohydrate metabolism', 'cell wall biosynthesis']",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, COG, and PFAM supporting role in nucleotide sugar metabolism and cell wall biosynthesis.",
BFJEKD_00170,Glycosyltransferase family 2,Cell Wall Biogenesis Enzyme,,,,,COG0463,Cell wall/membrane/envelope biogenesis,,,['GO:0016757'],"['transferase activity, transferring glycosyl groups']","[{'id': 'PF01757', 'name': 'Acyl_transf_3'}, {'id': 'PF00535', 'name': 'Glycos_transf_2'}]","['glycosyltransferase', 'cell wall biosynthesis', 'transferase']",['Cell Wall & Envelope Biogenesis'],Medium,"Likely involved in cell wall polysaccharide biosynthesis; lacks KO and EC but supported by COG, PFAM, and GO.",
BFJEKD_00175,Hypothetical protein,Uncharacterized Protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Cell Division & Chromosome Partitioning'],Low,No functional annotation available; exclude or treat cautiously in downstream analyses.,
BFJEKD_00180,Glycosyltransferase involved in cell wall biosynthesis,Cell Wall Biosynthesis Enzyme,,,,,COG0438,"Glycosyltransferases, involved in cell wall/membrane/envelope biogenesis",,,,,,"['cell wall biosynthesis', 'glycosyltransferase', 'membrane-associated enzyme']",['Aromatic Amino Acid Biosynthesis'],Medium,No KO or EC available; annotation based on COG0438 and product description. Likely involved in cell wall polysaccharide assembly.,
BFJEKD_00185,Chromosome partitioning protein ParA (ATPase MipZ),Chromosome Partitioning and Cell Division,,,,,COG1192,Chromosome partitioning ATPase,,,,,"[{'id': 'PF07729', 'name': 'AAA_31'}, {'id': 'PF09756', 'name': 'MipZ'}]","['chromosome partitioning', 'ATPase', 'cell division']",,High,"Strong domain evidence (AAA+ ATPase and MipZ), COG1192 confirms function in chromosome segregation.",
BFJEKD_00190,"dTDP-glucose 4,6-dehydratase",Nucleotide Sugar Metabolism,"['K01710', 'K12450']",['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG1088,Nucleotide sugar metabolism enzymes,"['4.2.1.46', '4.2.1.76']","['dTDP-glucose 4,6-dehydratase', 'dTDP-4-dehydrorhamnose 3,5-epimerase']","['GO:0019305', 'GO:0016491', 'GO:0009225', 'GO:0008830', 'GO:0005524', 'GO:0005829', 'GO:0009506', 'GO:0016020', 'GO:0009274', 'GO:0009243']","['nucleotide-sugar metabolic process', 'oxidoreductase activity', 'dTDP-glucose biosynthetic process', 'dTDP-glucose 4,6-dehydratase activity', 'ATP binding', 'cytoplasm', 'thylakoid', 'integral component of membrane', 'cell wall', 'dTDP-rhamnose biosynthetic process']","[{'id': 'PF00908', 'name': 'GDP_Man_Dehyd'}]","['nucleotide sugar metabolism', 'dehydratase', 'cell wall biosynthesis']","['Nucleotide Sugar Biosynthesis', 'Oxidoreductase Enzymes', 'Cell Wall & Envelope Biogenesis']",High,"Complete KO, EC, GO, COG, and PFAM annotations support confident functional assignment.",
BFJEKD_00195,dTDP-4-dehydrorhamnose reductase,Nucleotide Sugar Metabolism,['K00067'],['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG1091,Nucleotide sugar metabolism enzymes,['1.1.1.133'],['dTDP-4-dehydrorhamnose reductase'],"['GO:0019305', 'GO:0016491', 'GO:0008830', 'GO:0004553', 'GO:0005524', 'GO:0005829', 'GO:0009506', 'GO:0016020', 'GO:0009274', 'GO:0009243']","['nucleotide-sugar metabolic process', 'oxidoreductase activity', 'dTDP-rhamnose biosynthetic process', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'ATP binding', 'cytoplasm', 'thylakoid', 'integral component of membrane', 'cell wall', 'dTDP-rhamnose biosynthetic process']","[{'id': 'PF01370', 'name': 'RmlD_sub_bind'}]","['nucleotide sugar metabolism', 'reductase', 'cell wall biosynthesis']","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",High,"Complete and consistent annotation with KO, EC, GO, COG, and PFAM domains.",
BFJEKD_00200,glucose-1-phosphate thymidylyltransferase RfbA,Nucleotide Sugar Metabolism,['K00973'],['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG1209,Nucleotide sugar metabolism enzymes,['2.7.7.24'],['glucose-1-phosphate thymidylyltransferase'],"['GO:0009058', 'GO:0003977', 'GO:0016491', 'GO:0009225', 'GO:0008830', 'GO:0005524', 'GO:0005829', 'GO:0016020', 'GO:0009274', 'GO:0009243']","['biosynthetic process', 'glucose-1-phosphate thymidylyltransferase activity', 'oxidoreductase activity', 'dTDP-glucose biosynthetic process', 'dTDP-glucose 4,6-dehydratase activity', 'ATP binding', 'cytoplasm', 'integral component of membrane', 'cell wall', 'dTDP-rhamnose biosynthetic process']","[{'id': 'PF00483', 'name': 'NTP_transferase'}]","['nucleotide sugar metabolism', 'thymidylyltransferase', 'cell wall biosynthesis']","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",High,"Complete annotation with KO, EC, GO, COG, and PFAM domains; key enzyme in dTDP-glucose biosynthesis.",
BFJEKD_00205,"GDP-mannose 4,6-dehydratase",Nucleotide sugar metabolism,['K01711'],['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG1089,Carbohydrate transport and metabolism,['4.2.1.47'],"['GDP-mannose 4,6-dehydratase']","['GO:0008446', 'GO:0016491', 'GO:0005524', 'GO:0005737', 'GO:0005829', 'GO:0009103', 'GO:0009243', 'GO:0019673', 'GO:0005681', 'GO:0042803']","['GDP-mannose 4,6-dehydratase activity', 'oxidoreductase activity', 'ATP binding', 'mitochondrion', 'cytosol', 'nucleotide-sugar metabolic process', 'GDP-mannose biosynthetic process', 'mannose metabolic process', 'ribosome biogenesis', 'protein homodimerization activity']","[{'id': 'PF00984', 'name': 'GDP-mannose 4,6-dehydratase'}]","['nucleotide sugar metabolism', 'carbohydrate metabolism', 'oxidoreductase']","['Cell Wall & Envelope Biogenesis', 'Glycosyltransferases']",High,"Complete annotation with KO, EC, GO, COG, and PFAM consistent; suitable for grouping in carbohydrate metabolism and nucleotide sugar biosynthesis.",
BFJEKD_00210,mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase,Nucleotide sugar metabolism,"['K00971', 'K16011']",['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG0836,Carbohydrate transport and metabolism,"['2.7.7.13', '5.3.1.8']","['mannose-1-phosphate guanylyltransferase', 'mannose-6-phosphate isomerase']","['GO:0009058', 'GO:0016740', 'GO:0005525', 'GO:0005737', 'GO:0005829', 'GO:0009103', 'GO:0019673', 'GO:0006486', 'GO:0005976', 'GO:0016020']","['biosynthetic process', 'transferase activity', 'ATP binding', 'mitochondrion', 'cytosol', 'nucleotide-sugar metabolic process', 'mannose metabolic process', 'protein glycosylation', 'polysaccharide metabolic process', 'integral component of membrane']","[{'id': 'PF01220', 'name': 'Mannose-6-phosphate isomerase'}, {'id': 'PF00464', 'name': 'NTP_transferase'}]","['nucleotide sugar metabolism', 'carbohydrate metabolism', 'transferase']",['Unknown & Hypothetical Proteins'],High,Dual function enzyme with two KO terms and EC numbers; important for polysaccharide biosynthesis and sugar metabolism.,
BFJEKD_00215,phosphomannomutase / phosphoglucomutase,Nucleotide sugar metabolism,"['K01840', 'K15778']",['map00520'],['Amino sugar and nucleotide sugar metabolism'],['Metabolism'],COG1109,Carbohydrate transport and metabolism,"['5.4.2.8', '5.4.2.2']","['phosphomannomutase', 'phosphoglucomutase']","['GO:0006487', 'GO:0009298', 'GO:0000287', 'GO:0008966', 'GO:0005886', 'GO:0009252', 'GO:0005975', 'GO:0006013', 'GO:0005737', 'GO:0016020']","['protein glycosylation', 'biosynthetic process', 'phosphomannomutase activity', 'phosphoglucomutase activity', 'integral component of membrane', 'polysaccharide biosynthetic process', 'polysaccharide metabolic process', 'glycogen biosynthetic process', 'mitochondrion', 'integral component of membrane']","[{'id': 'PF02878', 'name': 'PGM_PMM_I'}, {'id': 'PF02879', 'name': 'PGM_PMM_II'}, {'id': 'PF02880', 'name': 'PGM_PMM_III'}, {'id': 'PF02881', 'name': 'PGM_PMM_IV'}]","['nucleotide sugar metabolism', 'carbohydrate metabolism', 'mutase']",['Unknown & Hypothetical Proteins'],High,Enzyme involved in sugar phosphate interconversions; key for polysaccharide biosynthesis and cell wall formation.,
BFJEKD_00220,Glycosyltransferase family 2 (WcaE),Carbohydrate Metabolism - Glycosyltransferases,,,,,COG1216,Carbohydrate transport and metabolism,['2.4.-.-'],['Glycosyltransferase'],"['GO:0016757', 'GO:0005975', 'GO:0008373']","['transferase activity, transferring glycosyl groups', 'carbohydrate metabolic process', 'carbohydrate biosynthetic process']","[{'id': 'PF00535', 'name': 'Glycosyltransferase family 2'}, {'id': 'PF13602', 'name': 'Glycos_transf_1_4'}, {'id': 'PF00534', 'name': 'Glycos_transf_2'}, {'id': 'PF08241', 'name': 'Methyltransf_23'}]","['glycosyltransferase', 'carbohydrate metabolism', 'cell wall biosynthesis']","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",High,Strong evidence from PFAM and COG supports glycosyltransferase function; useful for grouping in carbohydrate metabolism and cell envelope biosynthesis.,
BFJEKD_00225,Hypothetical protein,Unknown Function,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Transcription Machinery & Regulators'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,
BFJEKD_00230,Hypothetical protein,Unknown Function,,,,,,,,,,,,"['hypothetical protein', 'unknown function']","['Secretion & Transport Systems', 'Efflux Pumps']",Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,
BFJEKD_00235,XRE family transcriptional regulator (HipB),Transcriptional Regulation - XRE Family,,,,,COG1396,Transcription,,,['GO:0003677'],['DNA binding'],"[{'id': 'PF12872', 'name': 'HTH_19'}, {'id': 'PF01381', 'name': 'HTH_3'}, {'id': 'PF13545', 'name': 'HTH_31'}]","['transcriptional regulator', 'XRE family', 'DNA binding']","['Cell Wall & Envelope Biogenesis', 'Secretion & Transport Systems']",High,Well-supported transcriptional regulator with multiple HTH domains; relevant for regulatory network analyses.,
BFJEKD_00240,Multidrug resistance efflux pump EmrA,Membrane Transport - Efflux Pumps,"['K12537', 'K16300']","['ko02010', 'ko02000']","['ABC transporters', 'Transporters']","['Membrane transport', 'Transporters']",COG1566,Defense mechanisms,,,"['GO:0015031', 'GO:0009306', 'GO:0016020']","['protein transport', 'response to antibiotic', 'membrane']","[{'id': 'PF00364', 'name': 'Biotin_lipoyl_2'}, {'id': 'PF04728', 'name': 'HlyD'}, {'id': 'PF04729', 'name': 'HlyD_3'}]","['multidrug efflux pump', 'membrane transporter', 'antibiotic resistance']","['Cell Wall & Envelope Biogenesis', 'Amino Sugar & Nucleotide Sugar Metabolism']",High,Strong KO and GO evidence for efflux pump function; important for grouping in antibiotic resistance and membrane transport.,
BFJEKD_00245,Type I secretion system permease/ATPase,ABC Transporter - Type I Secretion System,"['K12536', 'K16299']",['map02010'],['ABC transporters'],['Membrane transport'],COG4618,"ABC-type protease/lipase transport system, ATPase and permease components",['3.6.3.-'],['ATPase involved in transmembrane movement of substances'],"['GO:0030253', 'GO:0030256', 'GO:0016020', 'GO:0055085', 'GO:0015421', 'GO:0140359', 'GO:0016887', 'GO:0005524']","['ATP-dependent transmembrane transporter activity', 'secretion by the type I secretion system', 'integral component of membrane', 'membrane transport', 'protein secretion by the type I secretion system', 'ATPase activity, coupled to transmembrane movement of substances', 'ATPase activity', 'ATP binding']","[{'id': 'PF00664', 'name': 'ABC_membrane'}, {'id': 'PF00005', 'name': 'ABC_tran'}]","['ABC transporter', 'type I secretion system', 'membrane transporter', 'ATPase']",['Translation & Ribosome Biogenesis'],High,Complete annotation with KO and GO terms consistent with Type I secretion system ATPase/permease function. Suitable for grouping under membrane transport and secretion systems.,
